OBJECTID,GLOBALID,REGISTRO,ACTIVIDAD.ECONOMICA,TELEFONO,CORREO.ELECTRONICO,N.ESTABLECIMIENTO,ENCUESTADOR,OTRA.ACTIVIDAD.ECONOMICA,COD.ESTABLECIMIENTO,LETRERO,LETRERO.PINTADO,ENTRADA,CELULAR,CELULAR.SECUNDARIO,ZONA,PALABRA.CLAVE,X,Y
3,9b861b1c-a640-4e16-878c-24f4d4d5fc6a,6/8/2020 20:38,Otro,0,,0,2,,15206_1,no,no,Pequeña,0,0,FISDECO,Indefinido,-74.141005,4.548814
4,d371a6c8-50e1-4b97-8f8a-f778248ad897,6/8/2020 20:52,Comercial,0,,panadería y Cafetería YAKI,2,,14035_1,si,no,Estandar,0,0,FISDECO,Panadería,-74.141122,4.54902
5,116f0c17-fc0b-4981-8b3e-532cb263a66a,6/8/2020 20:56,Servicios,0,,Centro Electrónico El Lucero,2,,14035_2,si,no,Estandar,3144453641,0,FISDECO,Taller,-74.141513,4.548987
7,160dbc6d-5fa2-4b9f-86a9-cf9edcc3820b,6/8/2020 21:06,Servicios,0,,Servibanca,2,,14035_4,si,no,Pequeña,0,0,FISDECO,Financiero,-74.1417,4.548851
8,45687905-d958-4316-8e6c-976495147ac4,6/8/2020 21:11,Servicios,0,,Barbería y peluquería EMMANUEL,2,,14035_5,si,no,Estandar,0,0,FISDECO,Peluquería,-74.141585,4.548618
10,9ff3f097-9b94-4a00-8474-83201ca11026,6/8/2020 21:20,Comercial,0,,Alquiler y venta de disfraces,2,,14035_7,si,no,Estandar,0,0,FISDECO,Ropa,-74.141119,4.548816
11,6e98571e-9543-4a1f-83fc-7a1041387a4f,6/8/2020 21:31,Comercial,0,,0,2,,2157_1,no,no,Estandar,0,0,FISDECO,Supermercado,-74.141087,4.548604
13,ab2693e8-76da-4c46-8fdf-6684389929a3,6/8/2020 21:38,Comercial,0,,Tejidos norma hilos hilazas,2,,2157_3,si,no,Estandar,0,0,FISDECO,Textil,-74.141282,4.548541
14,710c6f07-dc63-415c-8b26-bfcc3c8bf357,6/8/2020 21:43,Comercial,0,,0,2,,2157_4,no,no,Estandar,0,0,FISDECO,Supermercado,-74.141598,4.54848
16,379609ac-3744-4c3e-823b-822564031882,6/8/2020 21:56,Comercial,0,,0,2,,14940_1,no,no,Estandar,0,0,FISDECO,Supermercado,-74.14171,4.548455
